,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
8,0.573,0.746,7,-5.699,1,0.0705,0.45,0.0,0.162,0.807,171.949,2XYyriLyJSuGj4FN7QoNmM
9,0.706,0.37,4,-10.488,1,0.0282,0.709,0.0,0.148,0.385,110.973,7viKJxrTrzfVsifsDpsBnj
10,0.419,0.679,4,-8.052,1,0.0384,0.493,0.00229,0.119,0.368,169.911,7cLGKaJXLFpUU7Up34vVr1
11,0.567,0.671,10,-7.668,1,0.0397,0.492,5.86e-05,0.102,0.313,117.919,119ZRPeJ540NUGoUD8LkMe
12,0.82,0.645,5,-6.873,1,0.0433,0.497,6.89e-05,0.118,0.789,111.935,29YePgOxuPLfU7uZKxKf6w
13,0.566,0.634,2,-5.551,1,0.0443,0.145,0.000716,0.0814,0.36,143.89,1tKhy83q8OsdcpZaX9N4Z2
14,0.644,0.423,11,-8.702,0,0.0324,0.464,0.0,0.11,0.509,131.903,4r8JqkhpTb5tzSKKHnVJIJ
15,0.425,0.389,8,-11.068,1,0.0291,0.877,1.29e-06,0.0665,0.335,90.903,5tfyaHkN7zisFJPFh9oKNa
16,0.585,0.399,2,-8.133,1,0.0286,0.849,3.47e-06,0.123,0.349,128.03,7uubRr0u9Zxc1Y84hEn7Xf
17,0.388,0.532,8,-6.352,1,0.0414,0.456,0.0,0.167,0.444,179.642,0bYDMpQ94LnF38FiOlc8K9
18,0.576,0.591,0,-7.725,1,0.0332,0.795,6.85e-05,0.266,0.478,124.013,7txLCGOXyDlDXTjtR1Sk4v
19,0.314,0.475,5,-12.38,1,0.0838,0.779,0.00539,0.34,0.312,78.992,0pw3p4gf5homOkvOGOJulF
20,0.675,0.533,0,-5.62,1,0.0349,0.293,0.0,0.113,0.91,134.976,074jI4LCbzZxhm223m6ori
21,0.591,0.519,0,-6.678,1,0.0299,0.343,1.52e-06,0.103,0.276,130.052,4M36kNFgfTRfssVd7EsAmA
22,0.703,0.695,4,-5.518,1,0.118,0.654,0.0,0.103,0.683,92.003,1QufGJee7k9v4Cfp2NxXbv
23,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,6f3ANRNQ8nCiPZ6VqXqq93
24,0.334,0.387,2,-9.483,1,0.0332,0.755,3.94e-05,0.113,0.42,129.959,73y649QhnXdcm6fRdvfraO
25,0.411,0.277,7,-8.844,1,0.0305,0.903,0.0,0.209,0.345,143.768,7AV1hh76pC1mg4iSH796Vp
26,0.492,0.517,6,-8.105,1,0.045,0.894,1.48e-06,0.127,0.174,139.348,4cVnG703AoNCx9430nonc7
