,id,popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
95,7wAJJ6CbMfNOTZFnjMMfOc,51,0.899,5,-3.688,0,0.0518,0.0494,0.0,0.493,0.495,139.81,180924,4
96,7iLA6PQeQWRjLDHOJgGpj5,58,0.668,11,-7.269,0,0.0497,0.636,2e-06,0.294,0.403,87.458,345559,4
97,3dPYpr9xdbUGL0sbffimg1,40,0.632,1,-8.957,1,0.079,0.0986,8.01e-05,0.155,0.781,102.979,260933,4
98,2q7xWsPbrnLyxOQedtKYAZ,20,0.706,7,-4.678,1,0.164,0.203,0.0,0.0489,0.695,65.985,301116,4
99,1UWacd8x8tPPwmrPB1MoBI,68,0.654,3,-6.639,0,0.0679,0.713,0.0,0.165,0.35,123.896,269032,4
100,5HGXuAy0YA1GBRkAny0cvV,45,0.922,11,-6.26,1,0.216,0.48,3.65e-05,0.0616,0.495,92.409,319343,4
101,1quPdlQzgq5ozu2imYKW31,0,0.297,1,-8.614,1,0.0403,0.99,0.000196,0.301,0.35,91.505,227423,4
102,1Xl83AOH0iWEOVFcdQqKBW,63,0.513,1,-7.953,0,0.0287,0.563,0.0,0.161,0.6,96.96,175822,4
103,71lZwMy3Qjs6WdIQYuyZ8b,21,0.77,0,-6.475,1,0.0774,0.156,0.0,0.331,0.694,75.001,178430,4
104,1rDjwexewf4hrdZT7SRNsH,64,0.46,6,-7.516,1,0.0851,0.455,0.000141,0.061,0.788,124.007,287573,4
105,0Bz7dfqPY4JOGZO3O1j8Wh,59,0.769,2,-4.504,0,0.0465,0.497,0.0,0.112,0.702,86.957,348966,4
106,3fPgIknlkDWXs1l2noKZbp,59,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,187711,4
107,28R9e9F46NZdIHAu1pN3jr,0,0.491,0,-8.033,1,0.0442,0.14,7.27e-06,0.422,0.294,76.352,149445,4
108,7L5TwLONdOxzve0ojDrXwX,50,0.704,0,-5.654,1,0.0514,0.154,0.0,0.347,0.493,179.768,192804,4
109,44O26Gv1wQrlUj14PpTolM,60,0.796,7,-4.778,1,0.0387,0.0495,0.0,0.333,0.541,127.985,247382,4
110,5z0doPBwSOKX2LmWRM7gZC,0,0.427,7,-9.7,1,0.0361,0.939,0.0119,0.0694,0.602,108.223,246773,4
111,0btO09qXuAH1gg9rBMKLNG,25,0.754,11,-5.461,1,0.198,0.38,0.0,0.13,0.595,99.94,185429,4
112,4G8W3lPzgu8WibeXEPLvLR,42,0.491,0,-8.324,0,0.0252,0.763,8.76e-05,0.107,0.212,97.939,292763,4
113,1uzkWkIaWaxzHJgJ4Fy5rO,62,0.875,5,-5.294,1,0.171,0.45,1.16e-05,0.164,0.737,96.915,408133,4
114,7E4sdzJDrVMu8qcwyxz3vP,60,0.679,1,-5.797,1,0.0357,0.0882,0.000105,0.0886,0.311,100.037,167000,4
115,06wmFmUzR15wlWpjTYwVTr,47,0.887,7,-5.169,0,0.0418,0.0355,1.01e-06,0.212,0.915,126.011,261005,4
116,2xbI8Vmyv3TkpTdywpPyNw,67,0.6,1,-5.84,0,0.0438,0.114,0.0,0.187,0.0399,101.981,245604,4
117,7qZc5Nq0uIgdiRyUMcxWot,46,0.756,0,-11.462,1,0.0818,0.0369,4.7e-06,0.422,0.74,103.033,311240,4
118,1NmoxbWmXXKSfJBdPPy0u2,43,0.831,0,-7.459,1,0.0443,0.0715,0.0,0.335,0.678,109.981,335569,4
119,0CVfovmUv7BnemOyTtOcbL,62,0.71,7,-4.961,0,0.0374,0.395,0.0,0.137,0.755,111.969,308714,4
120,47tnvWm6X4SopmU3KCGl22,54,0.515,9,-11.252,0,0.0431,0.196,3.13e-06,0.0512,0.961,176.143,373187,3
121,35P2Xal9x3GAdOHytyEUFe,68,0.525,1,-8.106,1,0.0337,0.876,1.41e-05,0.172,0.257,99.638,351588,4
122,2mwBSO58y92EYmEFpDfmS7,61,0.869,2,-3.381,0,0.0908,0.14,0.0,0.221,0.751,98.208,190132,4
123,1iF6lrJludTZmfgMgXPqSe,50,0.921,1,-4.416,0,0.0362,0.0799,1.41e-06,0.0636,0.755,131.084,251514,4
124,6gHVMInOPMsA4ujf0nWHSt,57,0.609,7,-7.218,1,0.0473,0.0233,0.000247,0.113,0.807,154.967,287134,4
125,30HUgW4DRLlQ9uDfMYZHtq,53,0.84,1,-8.096,1,0.196,0.00608,2.16e-06,0.328,0.465,139.977,142263,4
126,40BjkQhSOqS7j8Z0JHiF07,54,0.752,2,-4.337,1,0.19,0.52,0.0,0.258,0.953,124.96,260507,4
127,0cWLJcdvM6QlOQ7UJdB4jb,58,0.622,7,-8.172,0,0.0842,0.7,2.82e-06,0.126,0.672,173.709,206175,4
128,3jRRXK3Vx0cDsLASHkRIxW,42,0.741,9,-4.223,0,0.125,0.0476,0.0,0.0527,0.532,98.046,220799,4
129,1o6nje537siXBDAex3rrrN,31,0.913,3,-2.906,1,0.0418,0.448,0.000174,0.39,0.945,136.989,231538,4
130,6XjJXPP3UiGtAQpYkD01c0,56,0.887,7,-5.285,1,0.0954,0.0962,6.39e-05,0.623,0.602,100.007,246100,4
131,3hvSB7NqAVUPKAdN78gVPR,20,0.821,0,-5.888,1,0.0829,0.446,0.0,0.0916,0.601,79.163,260111,4
132,1mNs7wKidNkhfB64B6Z97u,39,0.737,5,-5.466,0,0.0396,0.0121,0.000173,0.281,0.207,81.916,282439,4
133,2ygHwkk6BE4o1YKF2jhrFX,54,0.729,6,-6.453,0,0.103,0.6,4.13e-05,0.0993,0.683,155.892,309273,4
134,12P8gSLA1zX3GqKjyAvUKy,52,0.72,2,-7.636,0,0.0616,0.783,9.14e-05,0.42,0.695,91.991,211902,4
135,5b9x5sRIzAgXQw0dhGORO1,60,0.501,4,-7.389,1,0.0372,0.387,1.81e-06,0.095,0.542,93.978,199644,4
136,3AKgg2xh1XZEmB8vNks2Gi,53,0.798,7,-3.792,1,0.321,0.361,0.0,0.194,0.596,137.981,272290,4
137,4ms4RFmu8rQRPekGr2ru4S,38,0.665,1,-6.323,1,0.302,0.0531,1.67e-06,0.356,0.464,97.082,226554,4
138,4ZTzakyoSFfBF730HJY061,29,0.39,9,-11.546,1,0.0407,0.487,0.0349,0.094,0.604,159.439,31466,4
139,4qVStkAhz8A61r7bfLqPvM,66,0.812,8,-4.801,1,0.0535,0.158,0.0,0.25,0.758,160.1,281856,3
140,45wzRgkkG5gjuYS3OkFWaI,60,0.469,7,-9.562,0,0.0247,0.856,0.00393,0.121,0.403,90.933,282023,4
